data
866
927
924
892
897
903
859
865
883
894
868
874
916
953
945
909
925
934
843
860
892
903
876
863
884
871
895
906
869
878
889
884
848
761
791
844
875
873
832
854
868
877
850
840
783
696
735
792
744
782
786
793
774
736
745
804
880
864
873
893
873
836
853
858
842
850
883
909
897
866
880
890
859
840
854
851
819
869
897
843
784
802
799
805
742
692
713
815
905
903
861
907
891
865
903
919
820
825
851
863
843
852
874
876
811
833
858
842
848
805
748
764
822
846
865
850
794
735
787
863
924
903
887
885
822
796
835
762
861
846
799
853
910
926
913
829
809
794
774
728
717
748
832
874
820
856
823
764
776
840
919
924
908
921
944
907
815
836
883
851
853
846
839
886
863
773
722
800
905
950
977
967
911
869
805
734
715
747
770
736
707
720
725
794
888
931
917
878
857
869
877
898
840
875
898
898
801
774
845
880
823
746
704
735
800
830
821
765
836
905
913
843
733
768
839
940
868
789
700
687
732
847
855
794
787
829
847
852
833
766
705
727
765
706
751
842
874
801
779
814
845
883
913
856
803
823
872
923
945
940
916
903
838
800
797
783
768
797
840
800
731
662
736
834
802
828
802
767
763
691
733
713
688
870
1056
1033
1039
936
826
820
890
928
910
861
930
995
860
857
888
863
877
894
866
878
857
842
829
806
883
882
